subject,run,Condition,SubsequentEmoMemoryResp,SubsequentEmoMemory,SubEmoMemScore,Emotion
sub-s002,run-01,neut/same ,def safe,TRUE,4,Neutral
sub-s002,run-01,neut/shift,def safe,TRUE,4,Neutral
sub-s002,run-01,neut/shift,def safe,TRUE,4,Neutral
sub-s002,run-01,neut/same ,def safe,TRUE,4,Neutral
sub-s002,run-01,neut/shift,def safe,TRUE,4,Neutral
sub-s002,run-01,neut/shift,def safe,TRUE,4,Neutral
sub-s002,run-01,neut/same ,def safe,TRUE,4,Neutral
sub-s002,run-01,neut/same ,def safe,TRUE,4,Neutral
sub-s002,run-01,neg/same  ,def startle,TRUE,4,Negative
sub-s002,run-01,neg/same  ,def startle,TRUE,4,Negative
sub-s002,run-01,neg/shift ,def startle,TRUE,4,Negative
sub-s002,run-01,neg/shift ,def startle,TRUE,4,Negative
sub-s002,run-01,neg/shift ,def startle,TRUE,4,Negative
sub-s002,run-01,neg/shift ,def startle,TRUE,4,Negative
sub-s002,run-01,neg/same  ,def startle,TRUE,4,Negative
sub-s002,run-01,neg/same  ,def startle,TRUE,4,Negative
sub-s002,run-01,neut/shift,def safe,TRUE,4,Neutral
sub-s002,run-01,neut/same ,def safe,TRUE,4,Neutral
sub-s002,run-01,neut/shift,def safe,TRUE,4,Neutral
sub-s002,run-01,neut/same ,def safe,TRUE,4,Neutral
sub-s002,run-01,neut/same ,def startle,FALSE,1,Neutral
sub-s002,run-01,neut/shift,def safe,TRUE,4,Neutral
sub-s002,run-01,neut/shift,def startle,FALSE,1,Neutral
sub-s002,run-01,neut/same ,def safe,TRUE,4,Neutral
sub-s002,run-01,neg/shift ,def startle,TRUE,4,Negative
sub-s002,run-01,neg/same  ,def startle,TRUE,4,Negative
sub-s002,run-01,neg/shift ,def startle,TRUE,4,Negative
sub-s002,run-01,neg/same  ,def startle,TRUE,4,Negative
sub-s002,run-01,neg/shift ,def startle,TRUE,4,Negative
sub-s002,run-01,neg/same  ,def startle,TRUE,4,Negative
sub-s002,run-01,neg/same  ,def startle,TRUE,4,Negative
sub-s002,run-01,neg/shift ,def startle,TRUE,4,Negative
sub-s002,run-02,neut/shift,def safe,TRUE,4,Neutral
sub-s002,run-02,neut/same ,def safe,TRUE,4,Neutral
sub-s002,run-02,neut/same ,def safe,TRUE,4,Neutral
sub-s002,run-02,neut/shift,def safe,TRUE,4,Neutral
sub-s002,run-02,neg/shift ,def startle,TRUE,4,Negative
sub-s002,run-02,neg/same  ,def startle,TRUE,4,Negative
sub-s002,run-02,neg/shift ,def startle,TRUE,4,Negative
